Horizon,HorizonLabel,Model,MAE,RMSE,MAPE,R2
1,5min,Persistence,1.3758,3.0753,3.381,0.9909
1,5min,EMA (a=0.3),1.2276,3.5441,2.6641,0.9879
1,5min,LSTM,1.78,5.7265,2.9813,0.9684
1,5min,CNN-LSTM,1.7196,5.4947,2.9343,0.971
1,5min,Bi-LSTM,1.4078,5.6044,2.6413,0.9698
1,5min,Transformer,2.3978,8.129,3.5635,0.9364
1,5min,CEEMDAN+CNN-BiLSTM (Proposed),1.8059,6.466,3.0593,0.9598
48,4h,Persistence,4.948,15.9149,6.5244,0.7563
48,4h,EMA (a=0.3),4.8995,16.0352,6.139,0.7526
48,4h,LSTM,6.2668,17.5909,7.6519,0.7023
48,4h,CNN-LSTM,8.9063,21.2717,13.8376,0.5647
48,4h,Bi-LSTM,6.1432,17.4362,7.4515,0.7075
48,4h,Transformer,5.6777,15.9924,7.1496,0.7539
48,4h,CEEMDAN+CNN-BiLSTM (Proposed),5.7151,16.7501,7.4849,0.7301
